RefNum,agerange,age,job,marital,education,balance,housing,loan,month,date,duration,deposit,lead,product,qualified ,contacted,won ,loanvalue,NPS
10023507,41-60,44,services,divorced,secondary,2586,yes,no,may,5/1/2018,160,102.76,1,unsecured ,1,1,0,2476,
10023508,41-60,50,management,married,secondary,49,yes,yes,june,6/1/2018,180,20.61,1,unsecured ,1,1,0,4384,
10023509,41-60,60,blue-collar,married,,104,yes,yes,july,7/1/2018,22,67.71,1,unsecured ,1,1,0,4080,
10023510,41-60,54,retired,married,secondary,529,yes,yes,august,8/1/2018,1492,65.05,1,unsecured ,0,1,0,2127,
10023511,41-60,58,retired,married,,96,yes,yes,september,9/1/2018,616,,1,unsecured ,0,1,0,2586,
10023512,31-40,36,admin.,single,primary,-171,yes,no,october,10/1/2018,242,,1,unsecured ,0,1,0,6530,
10023513,41-60,58,self-employed,married,tertiary,-364,yes,yes,november,11/1/2018,355,,1,unsecured ,0,1,0,2476,
10023514,41-60,44,technician,married,secondary,0,yes,yes,december,12/1/2018,225,0,1,unsecured ,0,1,0,4384,
10023515,41-60,55,technician,divorced,secondary,0,no,no,january,1/1/2018,160,0,1,unsecured ,0,1,0,4080,
10023516,18-30,29,management,single,tertiary,0,yes,no,february,2/1/2018,363,0,1,unsecured ,0,1,0,2127,
10023517,41-60,54,blue-collar,married,secondary,1291,yes,yes,march,3/1/2018,266,,1,unsecured ,0,1,0,5699,
10023518,41-60,48,management,divorced,tertiary,-244,yes,yes,april,4/1/2018,253,,1,auto ,1,1,0,3237,
10023519,31-40,32,management,married,tertiary,0,yes,yes,may,5/1/2018,179,,1,auto ,1,1,0,2558,
10023520,41-60,42,admin.,single,secondary,-76,yes,no,june,6/1/2018,787,,1,auto ,1,1,0,2298,
10023521,18-30,24,technician,single,secondary,-103,yes,no,july,7/1/2018,145,,1,auto ,1,1,0,3397,
10023522,31-40,38,entrepreneur,single,tertiary,243,no,no,august,8/1/2018,174,92.66,1,auto ,1,1,0,2106,
10023523,31-40,38,management,single,tertiary,424,yes,no,september,9/1/2018,104,103.98,1,auto ,1,1,0,2586,
10023524,41-60,47,blue-collar,married,,306,yes,yes,october,10/1/2018,13,24.74,1,auto ,0,,0,6530,
10023525,31-40,40,blue-collar,single,,24,yes,no,november,11/1/2018,185,18.92,1,auto ,1,,0,2476,
10023526,41-60,46,services,married,primary,179,yes,yes,december,12/1/2018,1778,0,1,auto ,1,,0,4384,
10023527,31-40,32,admin.,married,tertiary,0,yes,yes,january,1/1/2018,138,0,1,auto ,0,,0,4080,
10023528,41-60,53,technician,divorced,secondary,989,yes,no,february,2/1/2018,812,143.25,1,auto ,1,,0,2127,
10023529,41-60,57,blue-collar,married,primary,249,yes,yes,march,3/1/2018,164,128.03,1,auto ,1,,0,5699,
10023530,31-40,33,services,married,secondary,790,yes,no,april,4/1/2018,391,100.69,1,auto ,1,,0,3237,
10023531,41-60,49,blue-collar,married,,154,yes,yes,may,5/1/2018,357,289.49,1,auto ,1,,0,2558,
10023532,41-60,51,management,married,tertiary,6530,yes,yes,june,6/1/2018,91,233.27,1,auto ,0,,0,2298,
10023533,41-60,60,retired,married,tertiary,100,no,yes,july,7/1/2018,528,22.17,0,no product,0,0,0,3397,
10023534,41-60,59,management,divorced,tertiary,59,yes,yes,august,8/1/2018,273,76.97,1,auto ,1,,0,2106,
10023535,41-60,55,technician,married,secondary,1205,yes,yes,september,9/1/2018,158,1107.88,1,auto ,1,,0,4080,
10023536,31-40,35,blue-collar,single,secondary,12223,yes,no,october,10/1/2018,177,2458.72,0,no product,0,0,0,2127,
10023537,41-60,57,blue-collar,married,secondary,5935,yes,yes,november,11/1/2018,258,111.2,1,mortgage,1,,0,5699,
10023538,31-40,31,services,married,secondary,25,yes,no,december,12/1/2018,172,24.24,1,mortgage,1,,0,3237,
10023539,41-60,54,management,married,secondary,282,yes,yes,january,1/1/2018,154,23.25,1,mortgage,1,,0,2558,
10023540,41-60,55,blue-collar,married,primary,23,yes,yes,february,2/1/2018,291,60.93,1,mortgage,1,,0,2298,
10023541,41-60,43,technician,married,secondary,1937,yes,yes,march,3/1/2018,181,248.97,0,no product,0,0,0,3397,
10023542,41-60,53,technician,married,secondary,384,yes,yes,april,4/1/2018,176,136.47,0,no product,0,0,0,2106,
10023543,41-60,44,blue-collar,married,secondary,582,no,yes,may,5/1/2018,211,66.43,1,mortgage,1,,0,8954,
10023544,41-60,55,services,divorced,secondary,91,no,no,june,6/1/2018,349,0,1,mortgage,1,,0,3678,
10023545,41-60,49,services,divorced,secondary,0,yes,no,july,7/1/2018,272,0,1,mortgage,0,,0,4853,
10023546,41-60,55,services,divorced,secondary,1,yes,no,august,8/1/2018,208,4.14,1,mortgage,0,,0,8675,
10023547,41-60,45,admin.,single,secondary,206,yes,no,september,9/1/2018,193,53.06,1,mortgage,0,,0,9764,
10023548,41-60,47,services,divorced,secondary,164,no,no,october,10/1/2018,212,97.11,1,mortgage,0,,0,2457,
10023549,41-60,42,technician,single,secondary,690,yes,no,november,11/1/2018,20,367.05,1,mortgage,0,,0,3678,
10023550,41-60,59,admin.,married,secondary,2343,yes,yes,december,12/1/2018,1042,163.55,1,mortgage,1,,0,9765,
10023551,41-60,46,self-employed,married,tertiary,137,yes,yes,january,1/1/2018,246,44.44,1,unsecured ,1,,0,4080,
10023552,41-60,51,blue-collar,married,primary,173,yes,yes,february,2/1/2018,529,25.47,1,unsecured ,1,,0,2127,
10023553,41-60,56,admin.,married,secondary,45,no,yes,march,3/1/2018,1467,69.01,1,unsecured ,1,1,0,5699,
10023554,41-60,41,technician,married,secondary,1270,yes,yes,april,4/1/2018,1389,41.15,0,no product,0,0,0,3237,
10023555,41-60,46,management,divorced,secondary,16,yes,no,may,5/1/2018,188,25.46,0,no product,0,0,0,2558,
10023556,41-60,57,retired,married,secondary,486,yes,yes,june,6/1/2018,180,45,0,no product,0,0,0,,
10023557,41-60,42,management,single,secondary,50,no,no,july,7/1/2018,48,25.17,0,no product,0,0,0,,
10023558,18-30,30,technician,married,secondary,152,yes,no,august,8/1/2018,213,60.61,0,no product,0,0,0,,
10023559,41-60,60,admin.,married,secondary,290,yes,yes,september,9/1/2018,583,36.12,0,no product,0,0,0,,
10023560,41-60,60,blue-collar,married,,54,yes,yes,october,10/1/2018,221,,0,no product,0,0,0,,
10023561,41-60,57,entrepreneur,divorced,secondary,-37,no,no,november,11/1/2018,173,,0,no product,0,0,0,,
10023562,31-40,36,management,married,tertiary,101,yes,yes,december,12/1/2018,426,56.78,0,no product,0,0,0,,
10023563,41-60,55,blue-collar,married,secondary,383,no,yes,january,1/1/2018,287,50.85,0,no product,0,0,0,,
10023564,41-60,60,retired,married,tertiary,81,yes,yes,february,2/1/2018,101,0,1,mortgage,1,1,0,7543,
10023565,31-40,39,technician,married,secondary,0,yes,no,march,3/1/2018,203,0,1,mortgage,0,1,0,6689,
10023566,41-60,46,management,married,tertiary,229,yes,yes,april,4/1/2018,197,,1,mortgage,1,1,0,4376,
10023567,41-60,44,blue-collar,married,secondary,-674,yes,yes,may,5/1/2018,257,,1,mortgage,0,1,0,6895,
10023568,41-60,53,blue-collar,married,primary,90,no,yes,june,6/1/2018,124,30.98,1,mortgage,1,1,0,7632,
10023569,41-60,52,blue-collar,married,primary,128,yes,yes,july,7/1/2018,229,43.7,1,mortgage,1,1,0,9753,
10023570,41-60,59,blue-collar,married,primary,179,yes,yes,august,8/1/2018,55,0,1,mortgage,1,1,0,2257,
10023571,18-30,27,technician,single,tertiary,0,yes,no,september,9/1/2018,400,0,0,no product,0,0,0,12353,
10023572,41-60,44,blue-collar,married,secondary,54,yes,yes,october,10/1/2018,197,26.07,1,auto ,1,1,0,2356,
10023573,41-60,47,technician,married,tertiary,151,yes,yes,november,11/1/2018,190,27.71,0,no product,0,0,0,7654,
10023574,31-40,34,admin.,married,secondary,61,no,no,december,12/1/2018,21,12.35,1,auto ,1,1,0,7854,
10023575,41-60,59,retired,single,secondary,30,yes,no,january,1/1/2018,514,36.16,0,no product,0,0,0,8954,
10023576,41-60,45,management,married,tertiary,523,yes,yes,february,2/1/2018,849,36.76,1,auto ,1,,0,3678,
10023577,18-30,29,services,divorced,secondary,31,yes,no,march,3/1/2018,194,14.29,0,no product,0,0,0,4853,
10023578,41-60,46,technician,divorced,secondary,79,no,no,april,4/1/2018,144,,1,auto ,1,,0,8675,
10023579,41-60,56,self-employed,married,primary,-34,yes,yes,may,5/1/2018,212,,0,no product,0,0,0,9764,
10023580,31-40,36,blue-collar,married,primary,448,yes,no,june,6/1/2018,286,54.99,1,auto ,1,,0,2457,
10023581,41-60,59,retired,divorced,primary,81,yes,no,july,7/1/2018,107,31.18,0,no product,0,0,0,3678,
10023582,41-60,44,blue-collar,married,secondary,144,yes,yes,august,8/1/2018,247,64.9,1,auto ,1,,0,9765,
10023583,41-60,41,admin.,married,secondary,351,yes,yes,september,9/1/2018,518,,1,auto ,1,,0,7543,
10023584,31-40,33,management,single,tertiary,-67,yes,no,october,10/1/2018,364,,1,auto ,1,,0,4080,
10023585,41-60,59,management,divorced,tertiary,262,no,yes,november,11/1/2018,178,0,1,mortgage,0,,0,2127,
10023586,41-60,57,technician,married,primary,0,no,yes,december,12/1/2018,98,0,1,mortgage,1,,0,5699,
10023587,41-60,56,technician,divorced,,56,yes,no,january,1/1/2018,439,11.02,1,mortgage,1,,0,3237,
10023588,41-60,51,blue-collar,married,secondary,26,yes,yes,february,2/1/2018,79,2.55,1,mortgage,0,,0,2558,
10023589,31-40,34,admin.,married,,3,yes,no,march,3/1/2018,120,3.2,1,mortgage,1,,0,2298,
10023590,41-60,43,services,married,secondary,41,yes,yes,april,4/1/2018,127,4.89,1,mortgage,1,,0,3397,
10023591,41-60,52,technician,married,tertiary,7,no,yes,may,5/1/2018,175,7.83,1,mortgage,1,,0,2106,
10023592,31-40,33,technician,single,secondary,105,yes,no,june,6/1/2018,262,84.6,1,mortgage,1,,0,6895,
10023593,18-30,29,admin.,single,secondary,818,yes,no,july,7/1/2018,61,,1,business,0,,0,7632,
10023594,31-40,34,services,married,secondary,-16,yes,no,august,8/1/2018,78,,1,business,0,,0,9753,
10023595,31-40,31,blue-collar,married,secondary,0,yes,no,september,9/1/2018,143,0,1,business,1,,0,2257,
10023596,41-60,55,services,married,secondary,2476,yes,yes,october,10/1/2018,579,494.47,1,business,1,,0,12353,
10023597,41-60,55,management,married,,1185,no,yes,november,11/1/2018,677,146.39,1,business,1,,0,2356,
10023598,31-40,32,admin.,single,secondary,217,yes,no,december,12/1/2018,345,174.56,1,unsecured ,1,,0,7654,
10023599,31-40,38,technician,single,secondary,1685,yes,no,january,1/1/2018,185,335.58,1,unsecured ,1,,0,7854,
10023600,41-60,55,admin.,single,secondary,802,yes,no,february,2/1/2018,100,0,1,unsecured ,1,,0,8954,
10023601,18-30,28,unemployed,single,tertiary,0,yes,no,march,3/1/2018,125,0,1,unsecured ,1,,0,3678,
10023602,18-30,23,blue-collar,married,secondary,94,yes,no,april,4/1/2018,193,0,1,unsecured ,1,,0,4853,
10023603,31-40,32,technician,single,secondary,0,yes,no,may,5/1/2018,136,0,1,unsecured ,1,,0,8675,
10023604,41-60,43,services,single,,0,no,no,june,6/1/2018,73,0,1,unsecured ,1,,0,9764,
10023605,31-40,32,blue-collar,married,secondary,517,yes,no,july,7/1/2018,528,106.85,1,unsecured ,1,,0,2457,
10023606,41-60,46,blue-collar,married,secondary,265,yes,yes,august,8/1/2018,541,144.61,1,unsecured ,0,,0,3678,
10023607,41-60,53,housemaid,divorced,primary,947,yes,no,september,9/1/2018,163,15.39,1,unsecured ,0,,0,9765,
10023608,31-40,34,self-employed,single,secondary,3,yes,no,october,10/1/2018,301,3.24,1,unsecured ,0,,0,7543,
10023609,41-60,57,unemployed,married,tertiary,42,no,yes,november,11/1/2018,46,11.38,1,unsecured ,0,,0,3521,
10023610,31-40,37,blue-collar,married,secondary,37,yes,no,december,12/1/2018,204,13.26,1,auto ,0,,0,2790,
10023611,41-60,59,blue-collar,married,secondary,57,yes,yes,january,1/1/2018,98,10.22,1,auto ,0,,0,2476,
10023612,31-40,33,services,married,secondary,22,yes,no,february,2/1/2018,71,3.83,1,auto ,0,,0,4384,
10023613,41-60,56,blue-collar,divorced,primary,8,yes,no,march,3/1/2018,157,13.98,1,auto ,0,,0,4080,
10023614,41-60,48,unemployed,married,secondary,293,yes,yes,april,4/1/2018,243,8.56,1,mortgage,0,,0,2127,
10023615,41-60,43,services,married,primary,3,yes,yes,may,5/1/2018,186,9.33,1,mortgage,0,,0,5699,
10023616,41-60,54,blue-collar,married,primary,348,yes,yes,june,6/1/2018,579,,1,mortgage,1,,0,3237,
10023617,41-60,51,blue-collar,married,,-19,yes,yes,july,7/1/2018,163,,1,mortgage,1,,0,2558,
10023618,18-30,26,student,single,secondary,0,yes,no,august,8/1/2018,610,,1,mortgage,1,,0,6895,
10023619,31-40,40,management,married,tertiary,-4,yes,yes,september,9/1/2018,2033,,1,mortgage,1,,0,7632,
10023620,31-40,39,management,married,secondary,18,yes,no,october,10/1/2018,85,14.44,1,auto ,1,,0,9753,
10023621,41-60,50,technician,married,primary,139,no,yes,november,11/1/2018,114,0,1,auto ,1,,0,2257,
10023622,41-60,41,services,married,secondary,0,yes,yes,december,12/1/2018,114,0,1,auto ,1,,0,12353,
10023623,41-60,51,blue-collar,married,,1883,yes,yes,january,1/1/2018,57,184.1,1,auto ,0,,0,2356,
10023624,41-60,60,retired,divorced,secondary,216,yes,no,february,2/1/2018,238,118.64,1,auto ,1,,0,7654,
10023625,41-60,52,blue-collar,married,secondary,782,yes,yes,march,3/1/2018,93,242.72,1,auto ,0,,0,7854,
10023626,41-60,48,blue-collar,married,secondary,904,yes,yes,april,4/1/2018,128,358.39,1,auto ,1,,0,8954,
10023627,41-60,48,services,married,,1705,yes,yes,may,5/1/2018,107,81.72,1,auto ,0,,0,3678,
10023628,31-40,39,technician,single,tertiary,47,yes,no,june,6/1/2018,181,26.26,1,unsecured ,1,,0,4853,
10023629,41-60,47,services,single,secondary,176,yes,no,july,7/1/2018,303,134.04,1,unsecured ,0,,0,8675,
10023630,31-40,40,blue-collar,married,secondary,1225,yes,no,august,8/1/2018,558,93.7,1,unsecured ,1,,0,9764,
10023631,41-60,45,technician,married,secondary,86,yes,yes,september,9/1/2018,270,24.24,1,unsecured ,0,,0,2457,
10023632,18-30,26,admin.,single,secondary,82,yes,no,october,10/1/2018,228,43.03,1,unsecured ,1,,0,3678,
10023633,41-60,52,management,married,tertiary,271,yes,yes,november,11/1/2018,99,176.41,1,mortgage,0,,0,9765,
10023634,41-60,54,technician,married,secondary,1378,yes,yes,december,12/1/2018,240,145.36,1,mortgage,1,,0,7543,
10023635,41-60,54,admin.,married,tertiary,184,no,yes,january,1/1/2018,673,0,1,mortgage,1,,0,2106,
10023636,41-60,50,blue-collar,married,primary,0,no,yes,february,2/1/2018,233,0,1,mortgage,1,,0,6895,
10023637,31-40,35,blue-collar,married,secondary,0,yes,no,march,3/1/2018,1056,0,1,mortgage,1,,0,7632,
10023638,41-60,44,services,married,secondary,1357,yes,yes,april,4/1/2018,250,46.35,1,mortgage,1,,0,9753,
10023639,41-60,53,entrepreneur,married,,19,yes,yes,may,5/1/2018,252,26.21,1,unsecured ,1,,0,2257,
10023640,31-40,35,retired,single,primary,434,no,no,june,6/1/2018,138,57.68,1,unsecured ,1,,0,12353,
10023641,41-60,60,admin.,divorced,secondary,92,yes,no,july,7/1/2018,130,93.94,1,unsecured ,1,,0,2356,
10023642,41-60,53,admin.,divorced,secondary,1151,yes,no,august,8/1/2018,412,62.71,1,unsecured ,1,,0,7654,
10023643,41-60,48,unemployed,married,secondary,41,yes,yes,september,9/1/2018,179,13.2,1,unsecured ,1,,0,7854,
10023644,31-40,34,technician,married,secondary,51,yes,no,october,10/1/2018,19,30.16,1,unsecured ,1,,0,8954,
10023645,41-60,54,services,married,secondary,214,yes,yes,november,11/1/2018,458,143.89,1,unsecured ,1,,0,3678,
10023646,41-60,51,management,married,secondary,1161,yes,yes,december,12/1/2018,717,59.83,1,mortgage,1,,0,4853,
10023647,31-40,31,services,married,tertiary,37,yes,yes,january,1/1/2018,313,49.26,1,mortgage,1,,0,8675,
10023648,31-40,35,technician,divorced,secondary,787,yes,no,february,2/1/2018,683,62.2,1,mortgage,1,,0,9764,
10023649,31-40,35,services,married,secondary,59,yes,no,march,3/1/2018,1077,35.27,1,mortgage,1,1,1,2457,10
10023650,31-40,38,technician,married,secondary,253,yes,no,april,4/1/2018,416,66.7,1,mortgage,1,1,1,3678,10
10023651,31-40,36,admin.,married,tertiary,211,yes,yes,may,5/1/2018,146,64.28,1,mortgage,1,1,1,9765,10
10023652,41-60,58,retired,married,primary,235,yes,yes,june,6/1/2018,167,293.01,1,auto ,1,1,1,7543,10
10023653,31-40,40,services,divorced,,4384,yes,no,july,7/1/2018,315,1220.88,1,unsecured ,1,1,1,4384,10
10023654,41-60,54,management,married,secondary,4080,no,yes,august,8/1/2018,140,134.24,1,auto ,1,1,1,4080,10
10023655,31-40,34,blue-collar,single,secondary,53,yes,no,september,9/1/2018,346,0,1,unsecured ,1,1,1,4384,10
10023656,31-40,31,management,single,tertiary,0,yes,no,october,10/1/2018,562,0,1,auto ,1,1,1,4080,10
10023657,41-60,51,retired,married,secondary,2127,yes,yes,november,11/1/2018,172,258.5,1,unsecured ,1,1,1,2127,10
10023658,31-40,33,management,married,tertiary,377,yes,yes,december,12/1/2018,217,47.89,1,unsecured ,1,1,1,5699,10
10023659,41-60,55,management,married,tertiary,73,yes,yes,january,1/1/2018,142,52.03,1,unsecured ,1,1,1,3237,10
10023660,41-60,42,admin.,married,secondary,445,yes,yes,february,2/1/2018,67,94.93,1,unsecured ,1,1,1,2558,10
10023661,31-40,34,blue-collar,married,secondary,243,yes,no,march,3/1/2018,291,78.85,1,unsecured ,1,1,1,2298,10
10023662,31-40,33,blue-collar,single,secondary,307,yes,no,april,4/1/2018,309,62.97,1,unsecured ,1,1,1,3397,10
10023663,31-40,38,services,married,secondary,155,yes,no,may,5/1/2018,248,47.27,1,unsecured ,1,1,1,2106,10
10023664,41-60,50,technician,divorced,tertiary,173,no,yes,june,6/1/2018,98,75.94,1,unsecured ,1,1,1,1526,10
10023665,41-60,43,management,married,tertiary,400,yes,yes,july,7/1/2018,256,218.17,1,unsecured ,1,1,1,2586,10
10023666,over 60,61,blue-collar,divorced,primary,1428,yes,no,august,8/1/2018,82,161.43,1,unsecured ,1,1,1,6530,10
10023667,41-60,47,admin.,married,secondary,219,yes,yes,september,9/1/2018,577,11.3,1,unsecured ,1,1,1,2476,10
10023668,41-60,48,self-employed,married,tertiary,7,yes,yes,october,10/1/2018,286,18.31,1,unsecured ,1,1,1,4384,10
10023669,41-60,44,blue-collar,married,secondary,575,yes,yes,november,11/1/2018,477,119.5,1,auto ,1,1,1,4080,10
10023670,31-40,35,student,single,,298,yes,no,december,12/1/2018,611,0,1,business,1,1,1,2127,10
10023671,31-40,35,services,married,secondary,0,yes,no,january,1/1/2018,471,0,1,business,1,1,1,5699,10
10023672,41-60,50,services,married,secondary,5699,yes,yes,february,2/1/2018,381,289.11,1,business,1,1,1,3237,10
10023673,41-60,41,management,married,tertiary,176,yes,yes,march,3/1/2018,42,87.08,1,business,1,1,1,2558,10
10023674,41-60,41,management,married,tertiary,517,yes,yes,april,4/1/2018,251,105.23,1,auto ,1,1,1,2298,10
10023675,31-40,39,services,single,,257,yes,no,may,5/1/2018,408,34.63,1,auto ,1,1,1,3397,10
10023676,41-60,42,retired,married,secondary,56,yes,yes,june,6/1/2018,215,,1,auto ,1,1,1,2106,10
10023677,31-40,38,blue-collar,married,secondary,-390,yes,no,july,7/1/2018,287,,1,auto ,1,1,1,4384,10
10023678,41-60,53,retired,married,secondary,330,yes,yes,august,8/1/2018,216,73.23,1,auto ,1,1,1,4080,10
10023679,41-60,59,housemaid,divorced,primary,195,no,no,september,9/1/2018,366,69.94,1,auto ,1,1,1,2127,10
10023680,31-40,36,services,married,secondary,301,yes,no,october,10/1/2018,210,,1,auto ,1,1,1,5699,10
10023681,41-60,54,blue-collar,married,primary,-41,yes,yes,november,11/1/2018,288,,1,auto ,1,1,1,3237,10
10023682,31-40,40,technician,married,tertiary,483,yes,yes,december,12/1/2018,168,33.57,1,auto ,1,1,1,2558,10
10023683,41-60,47,,married,,28,no,yes,january,1/1/2018,338,5.51,1,auto ,1,1,1,2298,10
10023684,41-60,53,unemployed,married,,13,no,yes,february,2/1/2018,410,32.33,1,unsecured ,1,1,1,3397,10
10023685,41-60,46,housemaid,married,primary,965,no,yes,march,3/1/2018,177,174.35,1,unsecured ,1,1,1,2106,10
10023686,31-40,39,management,married,tertiary,378,yes,yes,april,4/1/2018,127,83.06,1,unsecured ,1,1,1,2458,10
10023687,31-40,40,unemployed,married,secondary,219,yes,no,may,5/1/2018,357,76.9,1,unsecured ,1,1,1,2893,10
10023688,18-30,28,blue-collar,married,primary,324,yes,no,june,6/1/2018,175,,1,unsecured ,1,1,1,4384,10
10023689,31-40,35,entrepreneur,divorced,secondary,-69,yes,no,july,7/1/2018,300,,1,mortgage,1,1,1,4080,10
10023690,41-60,55,retired,married,secondary,0,no,yes,august,8/1/2018,136,0,1,mortgage,1,1,1,2127,10
10023691,41-60,43,technician,divorced,,205,yes,no,september,9/1/2018,1419,68.91,1,mortgage,1,1,1,5699,10
10023692,41-60,48,blue-collar,married,primary,278,yes,yes,october,10/1/2018,125,157.07,1,mortgage,1,1,1,3237,10
10023693,41-60,58,management,married,,1065,yes,yes,november,11/1/2018,213,54.93,1,mortgage,1,1,1,2558,10
10023694,31-40,33,management,single,tertiary,34,yes,no,december,12/1/2018,27,54.1,1,mortgage,1,1,1,2298,10
10023695,31-40,36,blue-collar,married,,1033,no,no,january,1/1/2018,238,355.36,1,mortgage,1,1,1,3397,10
10023696,41-60,53,services,divorced,secondary,1467,yes,no,february,2/1/2018,124,,1,mortgage,1,1,1,2106,10
10023697,41-60,47,blue-collar,married,primary,-12,yes,yes,march,3/1/2018,18,,1,mortgage,1,1,1,6895,10
10023698,31-40,31,services,married,secondary,388,yes,no,april,4/1/2018,730,97.5,1,mortgage,1,1,1,7632,10
10023699,41-60,57,entrepreneur,married,secondary,294,yes,yes,may,5/1/2018,746,211.57,1,mortgage,1,1,1,9753,10
10023700,41-60,53,blue-collar,married,,1827,no,yes,june,6/1/2018,121,308.97,1,mortgage,1,1,1,2257,10
10023701,41-60,55,blue-collar,married,primary,627,yes,yes,july,7/1/2018,247,36.14,1,mortgage,1,1,1,12353,10
10023702,41-60,45,blue-collar,married,primary,25,yes,yes,august,8/1/2018,40,25.62,1,unsecured ,1,1,1,2356,10
10023703,41-60,53,admin.,divorced,secondary,315,yes,no,september,9/1/2018,181,0,1,unsecured ,1,1,1,7654,10
10023704,31-40,37,blue-collar,married,primary,0,yes,no,october,10/1/2018,79,0,1,unsecured ,1,1,1,7854,10
10023705,41-60,44,admin.,divorced,secondary,66,yes,no,november,11/1/2018,206,,1,unsecured ,1,1,1,8954,10
