"","RefNum","agerange","age","job","marital","education","balance","housing","loan","month","date","duration","deposit","lead","product","qualified","contacted","won","loanvalue"
"19",10023485,"41-60",60,"retired","married","primary",60,"yes","yes","july",2018-07-01,219,0,0,"no product",0,0,0,3047
"20",10023486,"31-40",33,"services","married","secondary",0,"yes","no","august",2018-08-01,54,0,0,"no product",0,0,0,2303
"21",10023487,"18-30",28,"blue-collar","married","secondary",723,"yes","no","september",2018-09-01,262,216.64,0,"no product",0,0,0,3659
"22",10023488,"41-60",56,"management","married","tertiary",779,"yes","yes","october",2018-10-01,164,38.64,0,"no product",0,0,0,2100
"23",10023489,"31-40",32,"blue-collar","single","primary",23,"yes","no","november",2018-11-01,160,9.79,1,"mortgage",1,1,0,7624
"24",10023490,"18-30",25,"services","married","secondary",50,"yes","no","december",2018-12-01,342,0,1,"mortgage",1,1,0,8694
"27",10023493,"31-40",39,"management","single","tertiary",255,"yes","no","march",2018-03-01,296,49,0,"no product",0,0,0,6371.81102362205
"30",10023496,"31-40",36,"technician","single","secondary",265,"yes","no","june",2018-06-01,348,136.12,1,"mortgage",1,1,0,4357
"31",10023497,"41-60",57,"technician","married","secondary",839,"no","yes","july",2018-07-01,225,162.57,1,"mortgage",1,1,0,6895
"32",10023498,"41-60",49,"management","married","tertiary",378,"yes","yes","august",2018-08-01,230,35.05,1,"mortgage",1,1,0,7632
"33",10023499,"41-60",60,"admin.","married","secondary",39,"yes","yes","september",2018-09-01,208,0,1,"mortgage",1,1,0,9753
"34",10023500,"41-60",59,"blue-collar","married","secondary",0,"yes","yes","october",2018-10-01,226,0,1,"mortgage",1,1,0,2257
"35",10023501,"41-60",51,"management","married","tertiary",10635,"yes","yes","november",2018-11-01,336,236.29,1,"mortgage",1,1,0,12353
"39",10023505,"31-40",36,"admin.","divorced","secondary",506,"yes","no","march",2018-03-01,577,0,1,"unsecured ",1,1,0,2458
"40",10023506,"31-40",37,"admin.","single","secondary",0,"yes","no","april",2018-04-01,137,0,1,"unsecured ",1,1,0,2893
"41",10023507,"41-60",44,"services","divorced","secondary",2586,"yes","no","may",2018-05-01,160,102.76,1,"unsecured ",1,1,0,2476
"42",10023508,"41-60",50,"management","married","secondary",49,"yes","yes","june",2018-06-01,180,20.61,1,"unsecured ",1,1,0,4384
"44",10023510,"41-60",54,"retired","married","secondary",529,"yes","yes","august",2018-08-01,1492,65.05,1,"unsecured ",0,1,0,2127
"48",10023514,"41-60",44,"technician","married","secondary",0,"yes","yes","december",2018-12-01,225,0,1,"unsecured ",0,1,0,4384
"49",10023515,"41-60",55,"technician","divorced","secondary",0,"no","no","january",2018-01-01,160,0,1,"unsecured ",0,1,0,4080
"50",10023516,"18-30",29,"management","single","tertiary",0,"yes","no","february",2018-02-01,363,0,1,"unsecured ",0,1,0,2127
"56",10023522,"31-40",38,"entrepreneur","single","tertiary",243,"no","no","august",2018-08-01,174,92.66,1,"auto ",1,1,0,2106
"57",10023523,"31-40",38,"management","single","tertiary",424,"yes","no","september",2018-09-01,104,103.98,1,"auto ",1,1,0,2586
"60",10023526,"41-60",46,"services","married","primary",179,"yes","yes","december",2018-12-01,1778,0,1,"auto ",1,1,0,4384
"61",10023527,"31-40",32,"admin.","married","tertiary",0,"yes","yes","january",2018-01-01,138,0,1,"auto ",0,0,0,4080
"62",10023528,"41-60",53,"technician","divorced","secondary",989,"yes","no","february",2018-02-01,812,143.25,1,"auto ",1,1,0,2127
"63",10023529,"41-60",57,"blue-collar","married","primary",249,"yes","yes","march",2018-03-01,164,128.03,1,"auto ",1,1,0,5699
"64",10023530,"31-40",33,"services","married","secondary",790,"yes","no","april",2018-04-01,391,100.69,1,"auto ",1,1,0,3237
"66",10023532,"41-60",51,"management","married","tertiary",6530,"yes","yes","june",2018-06-01,91,233.27,1,"auto ",0,0,0,2298
"67",10023533,"41-60",60,"retired","married","tertiary",100,"no","yes","july",2018-07-01,528,22.17,0,"no product",0,0,0,3397
"68",10023534,"41-60",59,"management","divorced","tertiary",59,"yes","yes","august",2018-08-01,273,76.97,1,"auto ",1,1,0,2106
"69",10023535,"41-60",55,"technician","married","secondary",1205,"yes","yes","september",2018-09-01,158,1107.88,1,"auto ",1,1,0,4080
"70",10023536,"31-40",35,"blue-collar","single","secondary",12223,"yes","no","october",2018-10-01,177,2458.72,0,"no product",0,0,0,2127
"71",10023537,"41-60",57,"blue-collar","married","secondary",5935,"yes","yes","november",2018-11-01,258,111.2,1,"mortgage",1,1,0,5699
"72",10023538,"31-40",31,"services","married","secondary",25,"yes","no","december",2018-12-01,172,24.24,1,"mortgage",1,1,0,3237
"73",10023539,"41-60",54,"management","married","secondary",282,"yes","yes","january",2018-01-01,154,23.25,1,"mortgage",1,1,0,2558
"74",10023540,"41-60",55,"blue-collar","married","primary",23,"yes","yes","february",2018-02-01,291,60.93,1,"mortgage",1,1,0,2298
"75",10023541,"41-60",43,"technician","married","secondary",1937,"yes","yes","march",2018-03-01,181,248.97,0,"no product",0,0,0,3397
"76",10023542,"41-60",53,"technician","married","secondary",384,"yes","yes","april",2018-04-01,176,136.47,0,"no product",0,0,0,2106
"77",10023543,"41-60",44,"blue-collar","married","secondary",582,"no","yes","may",2018-05-01,211,66.43,1,"mortgage",1,1,0,8954
"78",10023544,"41-60",55,"services","divorced","secondary",91,"no","no","june",2018-06-01,349,0,1,"mortgage",1,1,0,3678
"79",10023545,"41-60",49,"services","divorced","secondary",0,"yes","no","july",2018-07-01,272,0,1,"mortgage",0,0,0,4853
"80",10023546,"41-60",55,"services","divorced","secondary",1,"yes","no","august",2018-08-01,208,4.14,1,"mortgage",0,0,0,8675
"81",10023547,"41-60",45,"admin.","single","secondary",206,"yes","no","september",2018-09-01,193,53.06,1,"mortgage",0,0,0,9764
"82",10023548,"41-60",47,"services","divorced","secondary",164,"no","no","october",2018-10-01,212,97.11,1,"mortgage",0,0,0,2457
"83",10023549,"41-60",42,"technician","single","secondary",690,"yes","no","november",2018-11-01,20,367.05,1,"mortgage",0,0,0,3678
"84",10023550,"41-60",59,"admin.","married","secondary",2343,"yes","yes","december",2018-12-01,1042,163.55,1,"mortgage",1,1,0,9765
"85",10023551,"41-60",46,"self-employed","married","tertiary",137,"yes","yes","january",2018-01-01,246,44.44,1,"unsecured ",1,1,0,4080
"86",10023552,"41-60",51,"blue-collar","married","primary",173,"yes","yes","february",2018-02-01,529,25.47,1,"unsecured ",1,1,0,2127
"87",10023553,"41-60",56,"admin.","married","secondary",45,"no","yes","march",2018-03-01,1467,69.01,1,"unsecured ",1,1,0,5699
"88",10023554,"41-60",41,"technician","married","secondary",1270,"yes","yes","april",2018-04-01,1389,41.15,0,"no product",0,0,0,3237
"89",10023555,"41-60",46,"management","divorced","secondary",16,"yes","no","may",2018-05-01,188,25.46,0,"no product",0,0,0,2558
"90",10023556,"41-60",57,"retired","married","secondary",486,"yes","yes","june",2018-06-01,180,45,0,"no product",0,0,0,6371.81102362205
"91",10023557,"41-60",42,"management","single","secondary",50,"no","no","july",2018-07-01,48,25.17,0,"no product",0,0,0,6371.81102362205
"92",10023558,"18-30",30,"technician","married","secondary",152,"yes","no","august",2018-08-01,213,60.61,0,"no product",0,0,0,6371.81102362205
"93",10023559,"41-60",60,"admin.","married","secondary",290,"yes","yes","september",2018-09-01,583,36.12,0,"no product",0,0,0,6371.81102362205
"96",10023562,"31-40",36,"management","married","tertiary",101,"yes","yes","december",2018-12-01,426,56.78,0,"no product",0,0,0,6371.81102362205
"97",10023563,"41-60",55,"blue-collar","married","secondary",383,"no","yes","january",2018-01-01,287,50.85,0,"no product",0,0,0,6371.81102362205
"98",10023564,"41-60",60,"retired","married","tertiary",81,"yes","yes","february",2018-02-01,101,0,1,"mortgage",1,1,0,7543
"99",10023565,"31-40",39,"technician","married","secondary",0,"yes","no","march",2018-03-01,203,0,1,"mortgage",0,1,0,6689
"102",10023568,"41-60",53,"blue-collar","married","primary",90,"no","yes","june",2018-06-01,124,30.98,1,"mortgage",1,1,0,7632
"103",10023569,"41-60",52,"blue-collar","married","primary",128,"yes","yes","july",2018-07-01,229,43.7,1,"mortgage",1,1,0,9753
"104",10023570,"41-60",59,"blue-collar","married","primary",179,"yes","yes","august",2018-08-01,55,0,1,"mortgage",1,1,0,2257
"105",10023571,"18-30",27,"technician","single","tertiary",0,"yes","no","september",2018-09-01,400,0,0,"no product",0,0,0,12353
"106",10023572,"41-60",44,"blue-collar","married","secondary",54,"yes","yes","october",2018-10-01,197,26.07,1,"auto ",1,1,0,2356
"107",10023573,"41-60",47,"technician","married","tertiary",151,"yes","yes","november",2018-11-01,190,27.71,0,"no product",0,0,0,7654
"108",10023574,"31-40",34,"admin.","married","secondary",61,"no","no","december",2018-12-01,21,12.35,1,"auto ",1,1,0,7854
"109",10023575,"41-60",59,"retired","single","secondary",30,"yes","no","january",2018-01-01,514,36.16,0,"no product",0,0,0,8954
"110",10023576,"41-60",45,"management","married","tertiary",523,"yes","yes","february",2018-02-01,849,36.76,1,"auto ",1,1,0,3678
"111",10023577,"18-30",29,"services","divorced","secondary",31,"yes","no","march",2018-03-01,194,14.29,0,"no product",0,0,0,4853
"114",10023580,"31-40",36,"blue-collar","married","primary",448,"yes","no","june",2018-06-01,286,54.99,1,"auto ",1,1,0,2457
"115",10023581,"41-60",59,"retired","divorced","primary",81,"yes","no","july",2018-07-01,107,31.18,0,"no product",0,0,0,3678
"116",10023582,"41-60",44,"blue-collar","married","secondary",144,"yes","yes","august",2018-08-01,247,64.9,1,"auto ",1,1,0,9765
"119",10023585,"41-60",59,"management","divorced","tertiary",262,"no","yes","november",2018-11-01,178,0,1,"mortgage",0,0,0,2127
"120",10023586,"41-60",57,"technician","married","primary",0,"no","yes","december",2018-12-01,98,0,1,"mortgage",1,1,0,5699
"122",10023588,"41-60",51,"blue-collar","married","secondary",26,"yes","yes","february",2018-02-01,79,2.55,1,"mortgage",0,0,0,2558
"124",10023590,"41-60",43,"services","married","secondary",41,"yes","yes","april",2018-04-01,127,4.89,1,"mortgage",1,1,0,3397
"125",10023591,"41-60",52,"technician","married","tertiary",7,"no","yes","may",2018-05-01,175,7.83,1,"mortgage",1,1,0,2106
"126",10023592,"31-40",33,"technician","single","secondary",105,"yes","no","june",2018-06-01,262,84.6,1,"mortgage",1,1,0,6895
"129",10023595,"31-40",31,"blue-collar","married","secondary",0,"yes","no","september",2018-09-01,143,0,1,"business",1,1,0,2257
"130",10023596,"41-60",55,"services","married","secondary",2476,"yes","yes","october",2018-10-01,579,494.47,1,"business",1,1,0,12353
"132",10023598,"31-40",32,"admin.","single","secondary",217,"yes","no","december",2018-12-01,345,174.56,1,"unsecured ",1,1,0,7654
"133",10023599,"31-40",38,"technician","single","secondary",1685,"yes","no","january",2018-01-01,185,335.58,1,"unsecured ",1,1,0,7854
"134",10023600,"41-60",55,"admin.","single","secondary",802,"yes","no","february",2018-02-01,100,0,1,"unsecured ",1,1,0,8954
"135",10023601,"18-30",28,"unemployed","single","tertiary",0,"yes","no","march",2018-03-01,125,0,1,"unsecured ",1,1,0,3678
"136",10023602,"18-30",23,"blue-collar","married","secondary",94,"yes","no","april",2018-04-01,193,0,1,"unsecured ",1,1,0,4853
"137",10023603,"31-40",32,"technician","single","secondary",0,"yes","no","may",2018-05-01,136,0,1,"unsecured ",1,1,0,8675
"139",10023605,"31-40",32,"blue-collar","married","secondary",517,"yes","no","july",2018-07-01,528,106.85,1,"unsecured ",1,1,0,2457
"140",10023606,"41-60",46,"blue-collar","married","secondary",265,"yes","yes","august",2018-08-01,541,144.61,1,"unsecured ",0,0,0,3678
"141",10023607,"41-60",53,"housemaid","divorced","primary",947,"yes","no","september",2018-09-01,163,15.39,1,"unsecured ",0,0,0,9765
"142",10023608,"31-40",34,"self-employed","single","secondary",3,"yes","no","october",2018-10-01,301,3.24,1,"unsecured ",0,0,0,7543
"143",10023609,"41-60",57,"unemployed","married","tertiary",42,"no","yes","november",2018-11-01,46,11.38,1,"unsecured ",0,0,0,3521
"144",10023610,"31-40",37,"blue-collar","married","secondary",37,"yes","no","december",2018-12-01,204,13.26,1,"auto ",0,0,0,2790
"145",10023611,"41-60",59,"blue-collar","married","secondary",57,"yes","yes","january",2018-01-01,98,10.22,1,"auto ",0,0,0,2476
"146",10023612,"31-40",33,"services","married","secondary",22,"yes","no","february",2018-02-01,71,3.83,1,"auto ",0,0,0,4384
"147",10023613,"41-60",56,"blue-collar","divorced","primary",8,"yes","no","march",2018-03-01,157,13.98,1,"auto ",0,0,0,4080
"148",10023614,"41-60",48,"unemployed","married","secondary",293,"yes","yes","april",2018-04-01,243,8.56,1,"mortgage",0,0,0,2127
"149",10023615,"41-60",43,"services","married","primary",3,"yes","yes","may",2018-05-01,186,9.33,1,"mortgage",0,0,0,5699
"154",10023620,"31-40",39,"management","married","secondary",18,"yes","no","october",2018-10-01,85,14.44,1,"auto ",1,1,0,9753
"155",10023621,"41-60",50,"technician","married","primary",139,"no","yes","november",2018-11-01,114,0,1,"auto ",1,1,0,2257
"156",10023622,"41-60",41,"services","married","secondary",0,"yes","yes","december",2018-12-01,114,0,1,"auto ",1,1,0,12353
"158",10023624,"41-60",60,"retired","divorced","secondary",216,"yes","no","february",2018-02-01,238,118.64,1,"auto ",1,1,0,7654
"159",10023625,"41-60",52,"blue-collar","married","secondary",782,"yes","yes","march",2018-03-01,93,242.72,1,"auto ",0,0,0,7854
"160",10023626,"41-60",48,"blue-collar","married","secondary",904,"yes","yes","april",2018-04-01,128,358.39,1,"auto ",1,1,0,8954
"162",10023628,"31-40",39,"technician","single","tertiary",47,"yes","no","june",2018-06-01,181,26.26,1,"unsecured ",1,1,0,4853
"163",10023629,"41-60",47,"services","single","secondary",176,"yes","no","july",2018-07-01,303,134.04,1,"unsecured ",0,0,0,8675
"164",10023630,"31-40",40,"blue-collar","married","secondary",1225,"yes","no","august",2018-08-01,558,93.7,1,"unsecured ",1,1,0,9764
"165",10023631,"41-60",45,"technician","married","secondary",86,"yes","yes","september",2018-09-01,270,24.24,1,"unsecured ",0,0,0,2457
"166",10023632,"18-30",26,"admin.","single","secondary",82,"yes","no","october",2018-10-01,228,43.03,1,"unsecured ",1,1,0,3678
"167",10023633,"41-60",52,"management","married","tertiary",271,"yes","yes","november",2018-11-01,99,176.41,1,"mortgage",0,0,0,9765
"168",10023634,"41-60",54,"technician","married","secondary",1378,"yes","yes","december",2018-12-01,240,145.36,1,"mortgage",1,1,0,7543
"169",10023635,"41-60",54,"admin.","married","tertiary",184,"no","yes","january",2018-01-01,673,0,1,"mortgage",1,1,0,2106
"170",10023636,"41-60",50,"blue-collar","married","primary",0,"no","yes","february",2018-02-01,233,0,1,"mortgage",1,1,0,6895
"171",10023637,"31-40",35,"blue-collar","married","secondary",0,"yes","no","march",2018-03-01,1056,0,1,"mortgage",1,1,0,7632
"172",10023638,"41-60",44,"services","married","secondary",1357,"yes","yes","april",2018-04-01,250,46.35,1,"mortgage",1,1,0,9753
"174",10023640,"31-40",35,"retired","single","primary",434,"no","no","june",2018-06-01,138,57.68,1,"unsecured ",1,1,0,12353
"175",10023641,"41-60",60,"admin.","divorced","secondary",92,"yes","no","july",2018-07-01,130,93.94,1,"unsecured ",1,1,0,2356
"176",10023642,"41-60",53,"admin.","divorced","secondary",1151,"yes","no","august",2018-08-01,412,62.71,1,"unsecured ",1,1,0,7654
"177",10023643,"41-60",48,"unemployed","married","secondary",41,"yes","yes","september",2018-09-01,179,13.2,1,"unsecured ",1,1,0,7854
"178",10023644,"31-40",34,"technician","married","secondary",51,"yes","no","october",2018-10-01,19,30.16,1,"unsecured ",1,1,0,8954
"179",10023645,"41-60",54,"services","married","secondary",214,"yes","yes","november",2018-11-01,458,143.89,1,"unsecured ",1,1,0,3678
"180",10023646,"41-60",51,"management","married","secondary",1161,"yes","yes","december",2018-12-01,717,59.83,1,"mortgage",1,1,0,4853
"181",10023647,"31-40",31,"services","married","tertiary",37,"yes","yes","january",2018-01-01,313,49.26,1,"mortgage",1,1,0,8675
"182",10023648,"31-40",35,"technician","divorced","secondary",787,"yes","no","february",2018-02-01,683,62.2,1,"mortgage",1,1,0,9764
"183",10023649,"31-40",35,"services","married","secondary",59,"yes","no","march",2018-03-01,1077,35.27,1,"mortgage",1,1,1,2457
"184",10023650,"31-40",38,"technician","married","secondary",253,"yes","no","april",2018-04-01,416,66.7,1,"mortgage",1,1,1,3678
"185",10023651,"31-40",36,"admin.","married","tertiary",211,"yes","yes","may",2018-05-01,146,64.28,1,"mortgage",1,1,1,9765
"186",10023652,"41-60",58,"retired","married","primary",235,"yes","yes","june",2018-06-01,167,293.01,1,"auto ",1,1,1,7543
"188",10023654,"41-60",54,"management","married","secondary",4080,"no","yes","august",2018-08-01,140,134.24,1,"auto ",1,1,1,4080
"189",10023655,"31-40",34,"blue-collar","single","secondary",53,"yes","no","september",2018-09-01,346,0,1,"unsecured ",1,1,1,4384
"190",10023656,"31-40",31,"management","single","tertiary",0,"yes","no","october",2018-10-01,562,0,1,"auto ",1,1,1,4080
"191",10023657,"41-60",51,"retired","married","secondary",2127,"yes","yes","november",2018-11-01,172,258.5,1,"unsecured ",1,1,1,2127
"192",10023658,"31-40",33,"management","married","tertiary",377,"yes","yes","december",2018-12-01,217,47.89,1,"unsecured ",1,1,1,5699
"193",10023659,"41-60",55,"management","married","tertiary",73,"yes","yes","january",2018-01-01,142,52.03,1,"unsecured ",1,1,1,3237
"194",10023660,"41-60",42,"admin.","married","secondary",445,"yes","yes","february",2018-02-01,67,94.93,1,"unsecured ",1,1,1,2558
"195",10023661,"31-40",34,"blue-collar","married","secondary",243,"yes","no","march",2018-03-01,291,78.85,1,"unsecured ",1,1,1,2298
"196",10023662,"31-40",33,"blue-collar","single","secondary",307,"yes","no","april",2018-04-01,309,62.97,1,"unsecured ",1,1,1,3397
"197",10023663,"31-40",38,"services","married","secondary",155,"yes","no","may",2018-05-01,248,47.27,1,"unsecured ",1,1,1,2106
"198",10023664,"41-60",50,"technician","divorced","tertiary",173,"no","yes","june",2018-06-01,98,75.94,1,"unsecured ",1,1,1,1526
"199",10023665,"41-60",43,"management","married","tertiary",400,"yes","yes","july",2018-07-01,256,218.17,1,"unsecured ",1,1,1,2586
"200",10023666,"over 60",61,"blue-collar","divorced","primary",1428,"yes","no","august",2018-08-01,82,161.43,1,"unsecured ",1,1,1,6530
"201",10023667,"41-60",47,"admin.","married","secondary",219,"yes","yes","september",2018-09-01,577,11.3,1,"unsecured ",1,1,1,2476
"202",10023668,"41-60",48,"self-employed","married","tertiary",7,"yes","yes","october",2018-10-01,286,18.31,1,"unsecured ",1,1,1,4384
"203",10023669,"41-60",44,"blue-collar","married","secondary",575,"yes","yes","november",2018-11-01,477,119.5,1,"auto ",1,1,1,4080
"205",10023671,"31-40",35,"services","married","secondary",0,"yes","no","january",2018-01-01,471,0,1,"business",1,1,1,5699
"206",10023672,"41-60",50,"services","married","secondary",5699,"yes","yes","february",2018-02-01,381,289.11,1,"business",1,1,1,3237
"207",10023673,"41-60",41,"management","married","tertiary",176,"yes","yes","march",2018-03-01,42,87.08,1,"business",1,1,1,2558
"208",10023674,"41-60",41,"management","married","tertiary",517,"yes","yes","april",2018-04-01,251,105.23,1,"auto ",1,1,1,2298
"212",10023678,"41-60",53,"retired","married","secondary",330,"yes","yes","august",2018-08-01,216,73.23,1,"auto ",1,1,1,4080
"213",10023679,"41-60",59,"housemaid","divorced","primary",195,"no","no","september",2018-09-01,366,69.94,1,"auto ",1,1,1,2127
"216",10023682,"31-40",40,"technician","married","tertiary",483,"yes","yes","december",2018-12-01,168,33.57,1,"auto ",1,1,1,2558
"219",10023685,"41-60",46,"housemaid","married","primary",965,"no","yes","march",2018-03-01,177,174.35,1,"unsecured ",1,1,1,2106
"220",10023686,"31-40",39,"management","married","tertiary",378,"yes","yes","april",2018-04-01,127,83.06,1,"unsecured ",1,1,1,2458
"221",10023687,"31-40",40,"unemployed","married","secondary",219,"yes","no","may",2018-05-01,357,76.9,1,"unsecured ",1,1,1,2893
"224",10023690,"41-60",55,"retired","married","secondary",0,"no","yes","august",2018-08-01,136,0,1,"mortgage",1,1,1,2127
"226",10023692,"41-60",48,"blue-collar","married","primary",278,"yes","yes","october",2018-10-01,125,157.07,1,"mortgage",1,1,1,3237
"228",10023694,"31-40",33,"management","single","tertiary",34,"yes","no","december",2018-12-01,27,54.1,1,"mortgage",1,1,1,2298
"232",10023698,"31-40",31,"services","married","secondary",388,"yes","no","april",2018-04-01,730,97.5,1,"mortgage",1,1,1,7632
"233",10023699,"41-60",57,"entrepreneur","married","secondary",294,"yes","yes","may",2018-05-01,746,211.57,1,"mortgage",1,1,1,9753
"235",10023701,"41-60",55,"blue-collar","married","primary",627,"yes","yes","july",2018-07-01,247,36.14,1,"mortgage",1,1,1,12353
"236",10023702,"41-60",45,"blue-collar","married","primary",25,"yes","yes","august",2018-08-01,40,25.62,1,"unsecured ",1,1,1,2356
"237",10023703,"41-60",53,"admin.","divorced","secondary",315,"yes","no","september",2018-09-01,181,0,1,"unsecured ",1,1,1,7654
"238",10023704,"31-40",37,"blue-collar","married","primary",0,"yes","no","october",2018-10-01,79,0,1,"unsecured ",1,1,1,7854
"241",10023707,"41-60",46,"technician","married","secondary",349,"yes","yes","january",2018-01-01,127,53.93,1,"unsecured ",1,1,1,4853
"243",10023709,"31-40",38,"admin.","married","secondary",0,"no","no","march",2018-03-01,151,0,1,"unsecured ",1,1,1,9764
"244",10023710,"41-60",43,"technician","married","secondary",434,"yes","yes","april",2018-04-01,117,342.16,1,"unsecured ",1,1,1,2457
"245",10023711,"41-60",49,"management","married","tertiary",3237,"yes","yes","may",2018-05-01,232,272.36,1,"unsecured ",1,1,1,3678
"247",10023713,"18-30",22,"blue-collar","single","secondary",0,"yes","no","july",2018-07-01,179,0,1,"unsecured ",1,1,1,7543
"248",10023714,"31-40",40,"management","married","tertiary",207,"yes","yes","august",2018-08-01,39,91.28,1,"unsecured ",1,1,1,4080
"249",10023715,"31-40",39,"blue-collar","married","secondary",483,"yes","no","september",2018-09-01,282,300.8,1,"unsecured ",1,1,1,2127
"250",10023716,"41-60",51,"services","married","secondary",2248,"yes","yes","october",2018-10-01,714,283.16,1,"mortgage",1,1,1,5699
"251",10023717,"41-60",49,"admin.","married","secondary",428,"yes","yes","november",2018-11-01,50,0,1,"mortgage",1,1,1,3237
"252",10023718,"41-60",53,"blue-collar","married","secondary",0,"yes","yes","december",2018-12-01,181,0,1,"mortgage",1,1,1,2558
"253",10023719,"31-40",34,"services","single","secondary",0,"yes","no","january",2018-01-01,142,0,1,"mortgage",1,1,1,2298
"254",10023720,"31-40",33,"technician","divorced","secondary",140,"yes","no","february",2018-02-01,227,58.86,1,"mortgage",1,1,1,3397
"255",10023721,"41-60",50,"management","single","tertiary",297,"yes","yes","march",2018-03-01,119,83.1,1,"mortgage",1,1,1,2106
"256",10023722,"31-40",39,"blue-collar","married","primary",279,"yes","no","april",2018-04-01,361,144.74,1,"mortgage",1,1,1,6895
"257",10023723,"41-60",59,"entrepreneur","divorced","secondary",901,"yes","no","may",2018-05-01,73,439.53,1,"mortgage",1,1,1,7632
"258",10023724,"18-30",30,"technician","single","secondary",2573,"yes","no","june",2018-06-01,67,175.1,1,"mortgage",1,1,1,9753
"259",10023725,"31-40",36,"services","married","secondary",143,"yes","no","july",2018-07-01,350,75.24,1,"mortgage",1,1,1,2257
"260",10023726,"31-40",40,"blue-collar","married","secondary",475,"yes","no","august",2018-08-01,332,52.64,1,"mortgage",1,1,1,12353
"261",10023727,"41-60",53,"blue-collar","married","secondary",70,"yes","yes","september",2018-09-01,611,43.07,1,"mortgage",1,1,1,2356
"262",10023728,"31-40",34,"management","single","tertiary",318,"yes","no","october",2018-10-01,113,85.37,1,"mortgage",1,1,1,7654
"263",10023729,"31-40",37,"technician","married","secondary",275,"yes","no","november",2018-11-01,132,130.4,1,"mortgage",1,1,1,7854
"264",10023730,"41-60",42,"management","divorced","tertiary",742,"yes","yes","december",2018-12-01,58,120.8,1,"auto ",1,1,1,8954
"265",10023731,"41-60",41,"entrepreneur","married","primary",236,"yes","yes","january",2018-01-01,151,22.17,1,"auto ",1,1,1,3678
"266",10023732,"18-30",30,"student","single","tertiary",25,"yes","no","february",2018-02-01,89,35.36,1,"auto ",1,1,1,4853
"269",10023735,"41-60",41,"blue-collar","married","primary",183,"yes","yes","may",2018-05-01,110,0,1,"auto ",1,1,1,2457
"270",10023736,"31-40",40,"blue-collar","married","primary",0,"yes","no","june",2018-06-01,463,0,1,"auto ",1,1,1,3678
"271",10023737,"41-60",42,"management","single","tertiary",0,"yes","yes","july",2018-07-01,562,0,1,"auto ",1,1,1,9765
"272",10023738,"31-40",40,"blue-collar","divorced","primary",0,"yes","no","august",2018-08-01,962,0,1,"auto ",1,1,1,7543
"273",10023739,"41-60",57,"technician","married","secondary",1078,"yes","yes","september",2018-09-01,10,118,1,"auto ",1,1,1,4384
"274",10023740,"41-60",56,"entrepreneur","divorced","secondary",155,"no","no","october",2018-10-01,118,49.54,1,"auto ",1,1,1,4080
"275",10023741,"31-40",37,"admin.","married","secondary",190,"yes","no","november",2018-11-01,92,71.07,1,"auto ",1,1,1,2127
"278",10023744,"41-60",49,"services","married","secondary",47,"no","yes","february",2018-02-01,234,47.25,1,"auto ",1,1,1,2558
"279",10023745,"31-40",38,"services","single","secondary",570,"yes","no","march",2018-03-01,75,30.04,1,"mortgage",1,1,1,2298
"280",10023746,"31-40",36,"self-employed","married","tertiary",19,"no","yes","april",2018-04-01,189,9.83,1,"mortgage",1,1,1,3397
"283",10023749,"41-60",54,"technician","married","tertiary",258,"no","yes","july",2018-07-01,310,40.42,1,"mortgage",1,1,1,7632
"284",10023750,"41-60",58,"blue-collar","married","primary",76,"yes","yes","august",2018-08-01,156,0,1,"mortgage",1,1,1,9753
